variable,frequency,timestep,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio
TREFHTMN,daily,7,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,8,6,72632792.0,1.3086018640175638,20,52484516.0,1.8109609127385304
TREFHTMN,daily,9,6,72632792.0,1.3086018640175638,20,52484516.0,1.8109609127385304
TREFHTMN,daily,10,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,11,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,12,5,54705363.0,1.7374422138465657,22,62575654.0,1.5189199141250684
TREFHTMN,daily,13,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,14,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,15,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,16,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,17,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,18,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,19,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,20,6,72632792.0,1.3086018640175638,20,52484516.0,1.8109609127385304
TREFHTMN,daily,21,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,22,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMN,daily,23,6,72632792.0,1.3086018640175638,22,62575654.0,1.5189199141250684
TREFHTMX,daily,0,5,53989011.0,1.7471180199985512,22,61498085.0,1.5337904261571722
TREFHTMX,daily,1,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,2,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,3,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,4,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,5,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,6,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,7,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,8,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,9,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,10,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,11,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,12,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,13,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,14,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,15,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,16,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,17,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,18,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,19,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,20,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,21,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,22,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TREFHTMX,daily,23,6,71921459.0,1.3115025099810613,22,61498085.0,1.5337904261571722
TS,daily,0,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,1,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,2,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,3,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,4,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,5,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,6,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,7,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,8,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,9,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,10,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,11,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,12,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,13,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,14,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,15,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,16,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,17,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,18,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,19,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,20,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,21,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,22,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
TS,daily,23,6,71894147.0,1.3081550991904807,22,59348970.0,1.5846727415825415
U010,daily,0,4,57160011.0,1.9298325362463629,18,43790991.0,2.5189941237000095
U010,daily,1,4,57160011.0,1.9298325362463629,18,43790991.0,2.5189941237000095
U010,daily,2,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,3,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,4,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,5,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,6,4,57160011.0,1.9298325362463629,18,43790991.0,2.5189941237000095
U010,daily,7,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,8,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,9,5,74526772.0,1.4801291675426382,18,43790991.0,2.5189941237000095
U010,daily,10,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,11,4,57160011.0,1.9298325362463629,18,43790991.0,2.5189941237000095
U010,daily,12,5,74526772.0,1.4801291675426382,18,43790991.0,2.5189941237000095
U010,daily,13,4,57160011.0,1.9298325362463629,18,43790991.0,2.5189941237000095
U010,daily,14,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
U010,daily,15,4,57160011.0,1.9298325362463629,16,34518157.0,3.1956876782268533
